0.000000 0.000000     10000.000000 -10000.000000     -10000.000000 10000.000000     
0.007500 -0.007500     10034.625000 -9964.625000     -9964.625000 10034.625000     
0.020026 -0.019974     10068.999023 -9929.000977     -9929.000977 10068.999023     
0.037597 -0.037404     10103.120117 -9893.129883     -9893.129883 10103.120117     
0.060229 -0.059774     10136.989258 -9857.010742     -9857.010742 10136.989258     
0.087941 -0.087066     10170.603516 -9820.646484     -9820.646484 10170.603516     
0.120750 -0.119262     10203.962891 -9784.036133     -9784.036133 10203.962891     
0.158673 -0.156345     10237.066406 -9747.182617     -9747.182617 10237.066406     
0.201729 -0.198298     10269.914062 -9710.084961     -9710.084961 10269.914062     
0.249935 -0.245103     10302.502930 -9672.745117     -9672.745117 10302.503906     
0.303309 -0.296743     10334.833984 -9635.163086     -9635.163086 10334.834961     
0.361869 -0.353201     10366.905273 -9597.339844     -9597.339844 10366.906250     
0.425632 -0.414459     10398.716797 -9559.277344     -9559.277344 10398.717773     
0.494616 -0.480500     10430.267578 -9520.974609     -9520.974609 10430.269531     
0.568839 -0.551306     10461.556641 -9482.434570     -9482.434570 10461.558594     
0.648319 -0.626860     10492.583008 -9443.656250     -9443.657227 10492.584961     
0.733074 -0.707145     10523.344727 -9404.642578     -9404.643555 10523.347656     
0.823120 -0.792143     10553.842773 -9365.392578     -9365.393555 10553.845703     
0.918478 -0.881836     10584.074219 -9325.908203     -9325.909180 10584.078125     
1.019163 -0.976208     10614.040039 -9286.189453     -9286.190430 10614.043945     
1.125195 -1.075240     10643.738281 -9246.237305     -9246.238281 10643.742188     
1.236590 -1.178916     10673.168945 -9206.053711     -9206.054688 10673.172852     
1.353368 -1.287217     10702.329102 -9165.638672     -9165.639648 10702.333984     
1.475545 -1.400126     10731.219727 -9124.993164     -9124.995117 10731.225586     
1.603141 -1.517626     10759.840820 -9084.118164     -9084.120117 10759.846680     
1.736173 -1.639699     10788.189453 -9043.014648     -9043.017578 10788.196289     
1.874658 -1.766327     10816.265625 -9001.682617     -9001.686523 10816.273438     
2.018616 -1.897493     10844.067383 -8960.125000     -8960.129883 10844.076172     
2.168065 -2.033179     10871.594727 -8918.340820     -8918.346680 10871.605469     
2.323022 -2.173368     10898.846680 -8876.332031     -8876.338867 10898.858398     
2.483505 -2.318041     10925.822266 -8834.098633     -8834.106445 10925.835938     
2.649534 -2.467181     10952.520508 -8791.641602     -8791.650391 10952.536133     
2.821126 -2.620771     10978.941406 -8748.961914     -8748.972656 10978.958008     
2.998300 -2.778792     11005.082031 -8706.060547     -8706.072266 11005.100586     
3.181073 -2.941227     11030.943359 -8662.938477     -8662.952148 11030.963867     
3.369464 -3.108057     11056.523438 -8619.596680     -8619.612305 11056.546875     
3.563493 -3.279265     11081.822266 -8576.036133     -8576.053711 11081.847656     
3.763176 -3.454834     11106.837891 -8532.257812     -8532.277344 11106.867188     
3.968532 -3.634744     11131.570312 -8488.262695     -8488.284180 11131.602539     
4.179581 -3.818979     11156.018555 -8444.050781     -8444.074219 11156.053711     
4.396340 -4.007519     11180.180664 -8399.624023     -8399.650391 11180.218750     
4.618829 -4.200348     11204.056641 -8354.982422     -8355.011719 11204.098633     
4.847065 -4.397446     11227.644531 -8310.126953     -8310.160156 11227.690430     
5.081068 -4.598796     11250.944336 -8265.059570     -8265.095703 11250.995117     
5.320856 -4.804380     11273.955078 -8219.780273     -8219.819336 11274.009766     
5.566448 -5.014179     11296.675781 -8174.290527     -8174.332520 11296.735352     
5.817863 -5.228174     11319.104492 -8128.590820     -8128.636230 11319.169922     
6.075119 -5.446348     11341.242188 -8082.682129     -8082.730957 11341.313477     
6.338236 -5.668683     11363.085938 -8036.565430     -8036.618164 11363.163086     
6.607232 -5.895159     11384.635742 -7990.241211     -7990.298340 11384.719727     
6.882127 -6.125758     11405.890625 -7943.710938     -7943.772461 11405.981445     
7.162939 -6.360462     11426.849609 -7896.975586     -7897.041992 11426.948242     
7.449688 -6.599252     11447.511719 -7850.035645     -7850.107422 11447.619141     
7.742393 -6.842110     11467.876953 -7802.892578     -7802.969238 11467.992188     
8.041073 -7.089016     11487.942383 -7755.546875     -7755.628906 11488.067383     
8.345747 -7.339952     11507.708984 -7708.000000     -7708.086914 11507.842773     
8.656434 -7.594900     11527.173828 -7660.252441     -7660.344727 11527.319336     
8.973154 -7.853839     11546.337891 -7612.305176     -7612.403320 11546.494141     
9.295926 -8.116752     11565.198242 -7564.159180     -7564.263184 11565.367188     
9.624769 -8.383618     11583.755859 -7515.815430     -7515.925781 11583.936523     
9.959703 -8.654420     11602.008789 -7467.274902     -7467.392090 11602.203125     
10.300749 -8.929137     11619.956055 -7418.538574     -7418.662598 11620.164062     
10.647924 -9.207751     11637.596680 -7369.607422     -7369.738770 11637.819336     
11.001249 -9.490243     11654.930664 -7320.482422     -7320.621094 11655.167969     
11.360744 -9.776593     11671.955078 -7271.164551     -7271.311035 11672.208984     
11.726428 -10.066782     11688.670898 -7221.654785     -7221.809082 11688.940430     
12.098321 -10.360788     11705.075195 -7171.954102     -7172.116699 11705.363281     
12.476444 -10.658594     11721.168945 -7122.063477     -7122.234375 11721.474609     
12.860816 -10.960180     11736.950195 -7071.983887     -7072.163574 11737.275391     
13.251457 -11.265526     11752.417969 -7021.716309     -7021.904785 11752.762695     
